chemical,C,Br,Cl,formula,chemical_type,chemical_familly
1,6,0,3,C6H11Cl3,PCAs,Chlorinated paraffins
2,6,0,4,C6H10Cl4,PCAs,Chlorinated paraffins
3,6,0,5,C6H9Cl5,PCAs,Chlorinated paraffins
4,6,0,6,C6H8Cl6,PCAs,Chlorinated paraffins
5,6,0,7,C6H7Cl7,PCAs,Chlorinated paraffins
6,6,0,8,C6H6Cl8,PCAs,Chlorinated paraffins
7,6,0,9,C6H5Cl9,PCAs,Chlorinated paraffins
8,7,0,3,C7H13Cl3,PCAs,Chlorinated paraffins
9,7,0,4,C7H12Cl4,PCAs,Chlorinated paraffins
10,7,0,5,C7H11Cl5,PCAs,Chlorinated paraffins
11,7,0,6,C7H10Cl6,PCAs,Chlorinated paraffins
12,7,0,7,C7H9Cl7,PCAs,Chlorinated paraffins
13,7,0,8,C7H8Cl8,PCAs,Chlorinated paraffins
14,7,0,9,C7H7Cl9,PCAs,Chlorinated paraffins
15,7,0,10,C7H6Cl10,PCAs,Chlorinated paraffins
16,8,0,3,C8H15Cl3,PCAs,Chlorinated paraffins
17,8,0,4,C8H14Cl4,PCAs,Chlorinated paraffins
18,8,0,5,C8H13Cl5,PCAs,Chlorinated paraffins
19,8,0,6,C8H12Cl6,PCAs,Chlorinated paraffins
20,8,0,7,C8H11Cl7,PCAs,Chlorinated paraffins
21,8,0,8,C8H10Cl8,PCAs,Chlorinated paraffins
22,8,0,9,C8H9Cl9,PCAs,Chlorinated paraffins
23,8,0,10,C8H8Cl10,PCAs,Chlorinated paraffins
24,8,0,11,C8H7Cl11,PCAs,Chlorinated paraffins
25,9,0,3,C9H17Cl3,PCAs,Chlorinated paraffins
26,9,0,4,C9H16Cl4,PCAs,Chlorinated paraffins
27,9,0,5,C9H15Cl5,PCAs,Chlorinated paraffins
28,9,0,6,C9H14Cl6,PCAs,Chlorinated paraffins
29,9,0,7,C9H13Cl7,PCAs,Chlorinated paraffins
30,9,0,8,C9H12Cl8,PCAs,Chlorinated paraffins
31,9,0,9,C9H11Cl9,PCAs,Chlorinated paraffins
32,9,0,10,C9H10Cl10,PCAs,Chlorinated paraffins
33,9,0,11,C9H9Cl11,PCAs,Chlorinated paraffins
34,9,0,12,C9H8Cl12,PCAs,Chlorinated paraffins
