"chloroparaffin","chloroparaffin","C","Cl","H","formula","chemical_type"
1,1,7,3,13,"C7Cl3H13","CPs"
2,2,8,3,15,"C8Cl3H15","CPs"
3,3,9,3,17,"C9Cl3H17","CPs"
4,4,10,3,19,"C10Cl3H19","CPs"
5,5,11,3,21,"C11Cl3H21","CPs"
6,6,12,3,23,"C12Cl3H23","CPs"
7,7,13,3,25,"C13Cl3H25","CPs"
8,8,14,3,27,"C14Cl3H27","CPs"
9,9,15,3,29,"C15Cl3H29","CPs"
10,10,16,3,31,"C16Cl3H31","CPs"
11,11,17,3,33,"C17Cl3H33","CPs"
12,12,18,3,35,"C18Cl3H35","CPs"
13,13,19,3,37,"C19Cl3H37","CPs"
14,14,20,3,39,"C20Cl3H39","CPs"
15,15,21,3,41,"C21Cl3H41","CPs"
16,16,22,3,43,"C22Cl3H43","CPs"
17,17,23,3,45,"C23Cl3H45","CPs"
18,18,24,3,47,"C24Cl3H47","CPs"
19,19,25,3,49,"C25Cl3H49","CPs"
20,20,26,3,51,"C26Cl3H51","CPs"
21,21,27,3,53,"C27Cl3H53","CPs"
22,22,28,3,55,"C28Cl3H55","CPs"
23,23,29,3,57,"C29Cl3H57","CPs"
24,24,30,3,59,"C30Cl3H59","CPs"
25,25,31,3,61,"C31Cl3H61","CPs"
26,26,32,3,63,"C32Cl3H63","CPs"
27,27,33,3,65,"C33Cl3H65","CPs"
28,28,34,3,67,"C34Cl3H67","CPs"
29,29,35,3,69,"C35Cl3H69","CPs"
30,30,36,3,71,"C36Cl3H71","CPs"
31,31,7,4,12,"C7Cl4H12","CPs"
32,32,8,4,14,"C8Cl4H14","CPs"
33,33,9,4,16,"C9Cl4H16","CPs"
34,34,10,4,18,"C10Cl4H18","CPs"
35,35,11,4,20,"C11Cl4H20","CPs"
36,36,12,4,22,"C12Cl4H22","CPs"
37,37,13,4,24,"C13Cl4H24","CPs"
38,38,14,4,26,"C14Cl4H26","CPs"
39,39,15,4,28,"C15Cl4H28","CPs"
40,40,16,4,30,"C16Cl4H30","CPs"
41,41,17,4,32,"C17Cl4H32","CPs"
42,42,18,4,34,"C18Cl4H34","CPs"
43,43,19,4,36,"C19Cl4H36","CPs"
44,44,20,4,38,"C20Cl4H38","CPs"
45,45,21,4,40,"C21Cl4H40","CPs"
46,46,22,4,42,"C22Cl4H42","CPs"
47,47,23,4,44,"C23Cl4H44","CPs"
48,48,24,4,46,"C24Cl4H46","CPs"
49,49,25,4,48,"C25Cl4H48","CPs"
50,50,26,4,50,"C26Cl4H50","CPs"
51,51,27,4,52,"C27Cl4H52","CPs"
52,52,28,4,54,"C28Cl4H54","CPs"
